,City Name,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloud Cover (%),Wind Speed (mph)
0,Atar,MR,20.52,-13.05,92.34,11,0,9.13
1,Ribeira Grande,PT,38.52,-28.7,64.4,68,40,17.22
2,Wick,GB,58.43,-3.08,48.2,81,3,11.41
3,Kapaa,US,22.08,-159.32,71.44,83,90,14.99
4,Puerto Escondido,MX,15.85,-97.07,80.6,65,5,3.85
5,Ponta do Sol,PT,32.67,-17.1,65.88,60,20,6.93
6,Praia,CV,14.92,-23.51,78.8,50,40,19.46
7,North Bend,US,43.41,-124.22,55.99,100,90,8.05
8,Nuevo Ideal,MX,24.89,-105.07,71.37,10,76,2.8
9,Cockburn Town,TC,21.46,-71.14,79.45,80,2,20.49
10,Safi,MA,32.3,-9.24,65.75,63,15,14.32
11,Sitka,US,57.05,-135.33,44.6,81,90,3.36
12,Iracoubo,GF,5.48,-53.2,83.03,72,7,7.61
13,Tuktoyaktuk,CA,69.45,-133.04,-2.2,77,90,3.36
14,Upernavik,GL,72.79,-56.15,33.8,87,0,4.05
15,Vila Franca do Campo,PT,37.72,-25.43,64.4,77,20,14.99
16,Fairbanks,US,64.84,-147.72,23.68,49,1,10.29
17,Qaanaaq,GL,77.48,-69.36,31.14,89,88,5.44
18,Makaha,US,21.47,-158.22,70.5,88,75,4.7
19,Iqaluit,CA,63.75,-68.51,32.0,93,75,10.29
20,Constitución,CL,-35.33,-72.42,62.13,75,1,13.11
21,Hilo,US,19.73,-155.09,67.57,83,75,6.93
22,Atuona,PF,-9.8,-139.03,81.39,80,30,16.44
23,Provideniya,RU,64.38,-173.3,18.63,89,0,4.59
24,Barrow,US,71.29,-156.79,-2.2,77,1,13.87
25,Grindavik,IS,63.84,-22.43,50.0,57,40,10.29
26,Vestmannaeyjar,IS,63.44,-20.27,46.4,70,43,8.05
27,Husavik,IS,66.04,-17.34,41.0,75,75,18.34
28,Yellowknife,CA,62.46,-114.35,7.09,77,90,13.87
29,Nicolás Bravo,MX,18.45,-88.92,86.0,74,90,5.82
30,Vila do Maio,CV,15.13,-23.22,78.8,50,40,19.46
31,Cascais,PT,38.7,-9.42,63.73,63,20,11.41
32,Nome,US,64.5,-165.41,26.33,68,1,10.29
33,Esim,GH,4.87,-2.24,84.97,72,82,12.53
34,Meadow Lake,US,34.8,-106.54,56.43,34,1,3.36
35,Saint Paul Harbor,US,57.79,-152.41,42.8,87,90,9.17
36,Great Falls,US,47.5,-111.3,50.31,45,1,12.75
37,Monrovia,LR,6.3,-10.8,87.8,66,40,6.93
38,Norman Wells,CA,65.28,-126.83,-0.4,70,20,5.82
39,Half Moon Bay,US,37.46,-122.43,62.51,77,20,10.58
40,Codrington,AU,-38.27,141.97,59.52,82,100,17.58
41,Havre-St-Pierre,CA,50.23,-63.6,35.6,59,1,17.22
42,Lagoa,PT,39.05,-27.98,59.54,79,63,23.71
43,Harker Heights,US,31.08,-97.66,66.2,48,1,14.99
44,Bethel,US,41.37,-73.41,58.87,50,1,2.53
45,Loreto,MX,22.27,-101.97,71.26,10,53,5.28
46,Haines Junction,CA,60.75,-137.51,29.39,77,98,6.06
47,Saint Anthony,US,45.02,-93.22,59.77,58,1,3.13
48,Bubaque,GW,11.28,-15.83,79.43,55,100,8.59
49,Whitehorse,CA,60.72,-135.05,26.22,79,75,13.87
50,Westwego,US,29.91,-90.14,79.9,69,75,6.93
51,Nzérékoré,GN,7.76,-8.82,94.05,34,79,2.71
52,Tasiilaq,GL,65.61,-37.64,42.8,45,40,18.34
53,Americus,US,32.07,-84.23,77.0,57,1,8.05
54,Nantucket,US,41.28,-70.1,53.6,72,1,6.93
55,Guantánamo,CU,20.14,-75.21,86.0,62,20,6.93
56,Thompson,CA,55.74,-97.86,32.0,92,75,3.36
57,Faranah,GN,10.04,-10.74,93.7,35,65,3.65
58,Cabo San Lucas,MX,22.89,-109.91,82.4,24,20,3.36
59,Ilulissat,GL,69.22,-51.1,37.4,64,75,6.93
60,Narsaq,GL,60.92,-46.05,39.2,64,75,11.41
61,Marystown,CA,47.17,-55.15,39.29,85,89,13.94
