,City Name,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloud Cover (%),Wind Speed (mph)
0,Bonthe,SL,7.53,-12.5,80.58,82,1,5.48
1,College,US,64.86,-147.8,19.54,92,90,3.09
2,North Battleford,CA,52.78,-108.3,17.83,72,90,3.36
3,Atuona,PF,-9.8,-139.03,79.09,73,67,13.78
4,Kodiak,US,39.95,-94.76,55.13,43,1,21.92
5,Tulum,MX,20.21,-87.46,83.61,62,40,8.05
6,Guerrero Negro,MX,27.97,-114.04,63.1,44,0,9.64
7,Sept-Iles,CA,50.2,-66.38,18.21,52,75,14.99
8,Kapaa,US,22.08,-159.32,80.38,65,75,18.34
9,Adrar,DZ,27.87,-0.29,60.8,25,0,9.17
10,Kingsport,US,36.55,-82.56,47.52,93,90,3.56
11,Thompson,CA,55.74,-97.86,5.0,84,75,3.36
12,Puerto Escondido,MX,15.86,-97.07,87.8,74,20,9.17
13,Barrow,AR,-38.31,-60.23,64.53,28,0,18.54
14,Saint George,GR,39.45,22.34,52.88,71,20,6.93
15,Hofn,IS,64.25,-15.21,43.29,71,0,18.45
16,Yellowknife,CA,62.45,-114.38,18.59,85,75,9.17
17,Qaanaaq,GL,77.48,-69.36,9.84,93,100,9.35
18,Hermiston,US,45.84,-119.29,33.1,40,1,3.36
19,Hay River,CA,60.82,-115.79,21.2,57,40,5.82
20,Qaqortoq,GL,60.72,-46.03,44.6,56,100,33.33
21,Hilo,US,19.71,-155.08,72.66,83,90,4.7
22,Atar,MR,20.52,-13.05,79.25,19,67,5.7
23,Hamilton,CA,43.26,-79.87,28.27,86,90,18.34
24,Fortuna,US,40.6,-124.16,49.21,66,40,27.51
25,Tasiilaq,GL,65.61,-37.64,21.2,57,100,6.93
26,Guanaja,CU,23.08,-82.07,81.0,58,20,9.17
27,Clyde River,CA,70.47,-68.59,23.0,92,90,27.51
28,Pacific Grove,US,36.62,-121.92,46.47,93,90,23.26
29,Grindavik,IS,63.84,-22.43,36.45,86,75,9.17
30,Bay Roberts,CA,47.58,-53.28,39.27,100,90,17.22
