,City Name,Country,Latitude,Longitude,Temperature (K),Humidity (%),Cloud Cover (%),Wind Speed (mph)
0,Tuktoyaktuk,CA,69.44,-133.03,1.4,84,40,2.24
1,Ponta do Sol,BR,-20.63,-46.0,72.91,90,100,2.33
2,Barrow,AR,-38.31,-60.23,64.53,28,0,18.54
3,Thompson,CA,55.74,-97.86,5.0,84,75,1.97
4,Yellowknife,CA,62.45,-114.38,19.4,85,75,11.41
5,Husavik,CA,50.56,-96.99,28.99,87,23,13.0
6,Cayenne,GF,4.94,-52.33,86.0,62,73,10.29
7,Bethel,US,60.79,-161.76,16.36,100,20,11.41
8,Castrillon,ES,43.4,-6.79,50.41,62,40,5.82
9,Lebanon,US,40.34,-76.42,39.58,38,1,1.43
10,Fairbanks,US,64.84,-147.72,19.15,85,90,4.7
11,Iqaluit,CA,63.75,-68.52,24.4,68,75,13.87
12,Nanortalik,GL,60.14,-45.24,41.36,76,100,41.16
13,Edinburg,US,26.3,-98.16,88.83,49,1,12.75
14,Qaanaaq,GL,77.48,-69.36,9.84,93,100,9.35
15,Atuona,PF,-9.8,-139.03,79.09,73,67,13.78
16,Saint-Francois,FR,46.42,3.91,43.52,93,100,3.36
17,Meadow Lake,CA,54.13,-108.44,17.6,72,90,4.7
18,Lavrentiya,RU,65.58,-170.99,20.07,79,100,8.79
19,Hilo,US,19.71,-155.08,70.72,94,90,4.7
20,Pierre,US,44.37,-100.35,29.44,92,90,27.51
21,El Cobre,VE,8.04,-72.06,78.8,78,75,5.82
22,Upernavik,GL,72.79,-56.15,20.66,66,100,12.44
23,Cabo San Lucas,MX,22.89,-109.91,78.49,73,20,11.41
24,Lagoa,PT,37.14,-8.45,60.01,100,75,11.41
25,Pacific Grove,US,36.62,-121.92,46.29,93,90,23.26
26,Provideniya,RU,64.42,-173.23,17.78,96,100,3.83
27,Klaksvik,FO,62.23,-6.59,39.2,86,100,18.34
28,Fez,MA,34.03,-5.02,53.6,76,0,6.93
29,Tasiilaq,GL,65.61,-37.64,19.4,62,75,4.7
30,Ashtabula,US,41.87,-80.79,38.12,60,90,5.82
31,Buchanan,LR,5.88,-10.05,80.6,94,75,3.47
32,Hofn,IS,64.25,-15.21,43.29,71,0,18.45
33,Clyde River,CA,70.47,-68.59,23.0,85,90,27.51
34,Kodiak,US,39.95,-94.76,55.44,54,1,21.92
35,Torbay,CA,47.66,-52.73,39.99,100,90,16.11
36,Callaway,US,46.98,-95.91,29.21,100,90,16.11
37,Sao Filipe,CV,14.9,-24.5,74.3,73,84,17.65
38,Nueva Gerona,CU,21.88,-82.8,77.27,66,26,8.77
39,Rigaud,CA,45.48,-74.3,22.37,53,20,3.36
40,Vestmannaeyjar,IS,63.44,-20.27,42.76,78,100,5.48
41,Halifax,CA,44.65,-63.58,30.04,79,75,26.4
42,Paamiut,GL,61.99,-49.67,37.92,74,100,9.31
43,Lompoc,US,34.64,-120.46,49.42,87,90,8.05
44,Wiwili,NI,13.63,-85.83,73.4,69,40,6.93
45,Kahului,US,20.89,-156.47,76.59,58,40,17.22
46,Eureka,US,40.8,-124.16,49.6,61,20,28.86
47,Saint George,GR,39.45,22.34,53.26,66,40,5.82
48,Ixtapa,MX,20.71,-105.21,84.56,66,40,10.29
49,Muros,ES,42.77,-9.06,53.28,100,75,9.17
50,Kapaa,US,22.08,-159.32,79.83,65,20,18.34
51,Codrington,AU,-28.95,153.24,72.63,88,66,8.05
52,Utica,US,43.1,-75.23,26.67,54,1,4.7
53,College,US,64.86,-147.8,19.54,85,90,4.7
54,Bonthe,SL,7.53,-12.5,80.58,82,1,5.48
55,Liverpool,GB,53.41,-2.98,34.25,93,1,11.41
56,San Quintin,PH,17.54,120.52,65.34,82,63,5.77
57,Sterling,US,39.0,-77.4,43.2,56,90,4.7
58,Ilulissat,GL,69.22,-51.1,21.2,57,40,20.8
59,Vila Franca do Campo,PT,37.72,-25.43,66.2,88,40,4.7
60,Royan,FR,45.62,-1.03,49.59,93,15,11.41
61,Praxedis Guerrero,MX,31.37,-106.02,53.69,38,90,8.05
62,Egvekinot,RU,66.32,-179.17,9.37,94,100,8.14
63,Coahuayana,MX,18.62,-100.35,89.26,47,54,2.35
64,Inuvik,CA,68.36,-133.71,13.06,85,90,3.36
65,Aklavik,CA,68.22,-135.01,12.81,85,90,3.36
66,Ballina,IE,54.11,-9.15,38.28,93,40,6.93
67,Puerto Lempira,HN,15.27,-83.77,81.57,67,100,9.51
68,Itarema,BR,-2.92,-39.92,78.8,79,60,12.26
69,Rabo de Peixe,PT,37.8,-25.58,66.2,88,40,4.7
70,Jiquilpan,MX,19.78,-103.78,84.2,62,40,2.73
71,Aasiaat,GL,68.71,-52.87,13.69,75,51,14.61
72,Porto Novo,BR,-23.68,-45.44,87.8,40,40,1.12
73,Dedougou,BF,12.47,-3.47,79.0,14,0,5.59
74,Humboldt,CA,52.21,-105.12,7.88,94,0,4.74
75,Dakar,SN,14.69,-17.45,73.4,73,66,20.8
76,Araouane,ML,18.9,-3.53,71.92,13,24,8.7
77,Saint Andrews,NZ,-44.53,171.19,60.13,83,100,4.0
78,Kenitra,MA,34.26,-6.57,50.0,93,40,6.76
79,Cockburn Town,TC,21.46,-71.14,77.41,62,10,11.54
80,Okmulgee,US,35.62,-95.96,64.6,22,1,20.8
81,Ribeira Grande,PT,38.52,-28.7,68.0,94,75,9.17
82,Nicoya,CR,10.15,-85.45,81.14,55,5,18.34
83,Narsaq,GL,60.91,-46.05,42.8,60,75,29.97
84,Fort Nelson,CA,58.81,-122.69,8.6,78,75,2.24
85,Glenwood Springs,US,39.55,-107.33,27.39,54,90,21.92
86,Yarmouth,CA,43.84,-66.12,29.35,79,90,21.92
87,Spirit River,CA,55.78,-118.84,2.73,84,20,2.42
88,Marienburg,DE,52.12,9.98,31.86,92,0,3.36
89,Acapulco,MX,16.86,-99.88,87.8,70,75,6.93
90,Pahrump,US,36.21,-115.98,44.96,52,20,2.37
91,Bonavista,CA,48.65,-53.11,37.0,87,100,11.99
92,Lampazos de Naranjo,MX,27.02,-100.51,94.78,21,0,13.71
93,Hilton Head Island,US,32.16,-80.75,65.95,67,90,3.36
94,Whitley Bay,GB,55.04,-1.44,33.73,77,40,2.24
95,Norman Wells,CA,65.28,-126.83,21.2,92,90,12.75
96,Sun Valley,US,39.6,-119.78,27.7,53,40,8.05
97,Los Llanos de Aridane,ES,28.66,-17.92,69.57,77,0,10.29
98,Alberton,ZA,-26.25,28.13,68.72,31,0,5.88
99,San Jose,HN,14.25,-87.96,78.6,46,0,3.69
100,Fortuna,US,40.6,-124.16,49.26,61,20,28.86
101,San Andres,PH,13.32,122.68,72.18,82,100,7.65
102,Siguiri,GN,11.42,-9.17,78.22,17,0,5.19
103,Mitu,IR,36.2,46.09,36.45,96,100,4.79
